R_Type,#,Barcodes,Location,Row,Column,Original Name,compound_name,core_common_name,substituents,conjugation,side_chain_group,salt,SMILES_unsalted,core_alkene,mw_g_mol,formula,state,concentration_mM
BA,750,R-TDH4Z3,EGBAs,7,5,Tyr-bMCA (rare),Tyr-bMCA,b_MCA,3a_6b_7b,Tyr,carboxylic_acid,NA,,NA,,,,
BA,626,R-VVBAXW,UnuBAC,3,2,Cholyl Tyrosine (pure),Tyr-CA,CA,3a_7a_12a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,740,R-BXAN7Z,EGBAs,6,5,Tyr-CA,Tyr-CA,CA,3a_7a_12a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,741,R-E5T6UW,EGBAs,6,6,Tyr-CDCA,Tyr-CDCA,CDCA,3a_7a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,775,R-VZMYQB,BATEF,3,4,Tyr-CDCA,Tyr-CDCA,CDCA,3a_7a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,742,R-G3ZTE3,EGBAs,6,7,Tyr-DCA,Tyr-DCA,DCA,3a_12a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,784,R-BUVVSG,BATEF,4,3,Tyr-DCA,Tyr-DCA,DCA,3a_12a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,743,R-GY9RCP,EGBAs,6,8,Tyr-HDCA,Tyr-HDCA,HDCA,3a_6a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,793,R-SMDYBF,BATEF,5,2,Tyr-HDCA,Tyr-HDCA,HDCA,3a_6a,Tyr,carboxylic_acid,NA,,NA,,,,
BA,744,R-K46C8D,EGBAs,6,9,Tyr-UDCA,Tyr-UDCA,UDCA,3a_7b,Tyr,carboxylic_acid,NA,,NA,,,,
BA,178,R-TFAKGH,UCFBA,1,10,"UCA 3a, 7b, 12a - trihydroxy-5b-cholan-24-oic-acid",UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,195,R-YJV587,UCFBA,3,7,UCA ursocholic acid (98.9% pure by HPLC),UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
